,Content ID,Content Type,Category,Rxn Type,Datetime,Score
0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,disgust,2020-11-07 09:43:50,0
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,disgust,2021-01-06 19:13:01,0
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,disgust,2021-04-09 02:46:20,0
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,dislike,2021-06-17 12:22:51,10
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,dislike,2020-11-09 02:49:59,10
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,dislike,2020-11-29 21:33:04,10
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,2021-04-18 05:13:58,15
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,2020-11-02 06:28:53,15
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,2020-09-03 18:51:38,15
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,2021-04-20 23:48:12,15
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,2020-09-29 16:00:27,15
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,2020-08-23 12:25:58,30
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,2020-11-01 01:16:21,30
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,2021-05-22 19:44:23,30
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,2021-03-07 12:40:11,30
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,2021-02-04 03:06:12,30
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,2020-07-14 05:28:44,30
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,peeking,2020-12-07 06:27:54,35
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,peeking,2021-04-01 22:54:23,35
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,peeking,2020-09-23 06:24:11,35
